[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Analysis started at: 2024-11-10 07:37:21 AM
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Callgraph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Value Range Analysis started
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function constructor
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for boostCloneMarket
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for boostCloneMarket
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function boostCloneMarket
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for hijackClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for hijackClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function hijackClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for getBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for getBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function getBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for getMyClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for getMyClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function getMyClones
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for getNorsefirePrice
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Return summary generated for getNorsefirePrice
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Processed function getNorsefirePrice
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x3ab4a46beae2a0b025eeed54db05819814ff287a | Generating return summary for min
