[INFO] | 2024-11-10 07:38:14 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Analysis started at: 2024-11-10 07:38:14 AM
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | solc version: v0.4.11
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Callgraph generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Value Range Analysis started
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Processed function transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x4e61ba9c25d43e802c6be8d160432e4989dea1fc | Return summary generated for balanceOf
