[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Analysis started at: 2024-11-10 07:37:50 AM
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Range graph generated
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function transferFrom
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for approve
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for approve
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function approve
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for allowance
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for allowance
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function allowance
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Range graph generated
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Range graph generated
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function onlyLeader
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function whenNotPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function onlyMLevel
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function whenPaused
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for _transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Return summary generated for _transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Range graph generated
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Processed function _transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x8a1190c9a21ccc195a943ec9ee434620461b46b2 | Generating return summary for slitherConstructorVariables
