[INFO] | 2024-11-10 07:38:36 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Analysis started at: 2024-11-10 07:38:36 AM
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function mul
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for div
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for div
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function div
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function sub
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for add
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for add
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function add
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for initUsers
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for initUsers
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function initUsers
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for GetIdByAddr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for GetIdByAddr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function GetIdByAddr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for GetPlayerByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for GetPlayerByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function GetPlayerByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for GetPlanByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for GetPlanByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function GetPlanByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for isAdmin
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for isAdmin
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function isAdmin
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for isActivated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for isActivated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function isActivated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for sq
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for sq
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function sq
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for pwr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for pwr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function pwr
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for distributeRef
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for distributeRef
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function distributeRef
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for sqrt
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for sqrt
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function sqrt
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for addRule
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for addRule
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function addRule
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for register_
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for register_
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function register_
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function withdraw
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
