[INFO] | 2024-11-10 07:39:07 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Analysis started at: 2024-11-10 07:39:07 AM
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Callgraph generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Value Range Analysis started
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function constructor
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for constructor
