[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Analysis started at: 2024-11-10 07:37:58 AM
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Version constraints: ['>=0.4.21', '>=0.4.21', '>=0.4.21', '^0.5.0', '^0.5.0', '>=0.4.24', '>=0.4.24', '^0.5.0', '>=0.5.0', '<0.8.0', '>=0.4.24']
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | solc version: v0.5.0
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x190956a704fbb70f0acce8338870771d17654952 | Generating return summary for slitherConstructorConstantVariables
