[INFO] | 2024-11-10 07:37:08 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Analysis started at: 2024-11-10 07:37:08 AM
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Value Range Analysis started
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Processed function constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Generating return summary for Sort
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Return summary generated for Sort
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Processed function Sort
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Processed function onlyowner
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Processed function fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Generating return summary for Count
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Return summary generated for Count
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Processed function Count
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Value Range Analysis took 0.004032 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Dependency detection started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Dependency detection finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Static Analysis took 1.141842 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Dependency does not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Analysis finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Analysis took 1.142170 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xc601f6938c75c4ca03eaad570701d86e607771db | Analysis finished at: 2024-11-10 07:37:09 AM

real	0m3.177s
user	0m3.255s
sys	0m1.262s
