[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Analysis started at: 2024-11-10 07:39:22 AM
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | solc version: v0.4.13
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Generating return summary for NewShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Return summary generated for NewShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Processed function NewShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Generating return summary for Donate
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Return summary generated for Donate
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Range graph generated
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Processed function Donate
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Range graph generated
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Generating return summary for FreeShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Return summary generated for FreeShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Processed function FreeShare
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Value Range Analysis took 0.001101 seconds
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Dependency detection started!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Static Analysis took 0.787416 seconds
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Dependency does not exist
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Analysis finished!
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Analysis took 0.787616 seconds
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1 | Analysis finished at: 2024-11-10 07:39:23 AM

real	0m2.318s
user	0m3.493s
sys	0m2.785s
