[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Analysis started at: 2024-11-10 07:37:24 AM
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Version constraints: ['^0.5.16']
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | solc version: v0.5.16
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Processed function constructor
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Generating return summary for _msgSender
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x01911afa1a3d64d52451a22cb265fc34f596f425 | Return summary generated for _msgSender
