[INFO] | 2024-11-10 07:37:36 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Analysis started at: 2024-11-10 07:37:36 AM
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Version constraints: ['^0.5.5']
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | solc version: v0.5.5
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Processed function mul
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Generating return summary for div
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5 | Return summary generated for div
