[INFO] | 2024-11-10 07:40:06 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Analysis started at: 2024-11-10 07:40:06 AM
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Version constraints: ['0.5.17']
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | solc version: v0.5.17
[INFO] | 2024-11-10 07:40:14 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:14 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:14 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Range graph generated
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Generating return summary for swapExactTokensForETH
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | Return summary generated for swapExactTokensForETH
[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x1c57481dc2e2b987b2f012e9d3cc4cbbecd7c116 | State variable assignement do not exist
