[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Analysis started at: 2024-11-10 07:38:26 AM
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for c_BANK
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for c_BANK
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function c_BANK
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
