[INFO] | 2024-11-10 07:38:52 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Analysis started at: 2024-11-10 07:38:52 AM
[INFO] | 2024-11-10 07:38:53 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:38:53 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | solc version: v0.4.23
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for DranMe
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for DranMe
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Range graph generated
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function DranMe
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for getLength
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for getLength
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function getLength
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for getPlayerCount
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for getPlayerCount
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function getPlayerCount
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for getPrize
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for getPrize
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function getPrize
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for becomePlayer
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for becomePlayer
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Range graph generated
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function becomePlayer
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for unlockSecret
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for unlockSecret
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Range graph generated
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function unlockSecret
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function fallback
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Range graph generated
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0x352dbba201af66f98a47f2b280bff45f9050dbf8 | Processed function slitherConstructorVariables
