[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Analysis started at: 2024-11-10 07:37:03 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | solc version: v0.4.13
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Range graph generated
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Range graph generated
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function mul
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for div
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for div
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function div
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for sub
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for sub
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function sub
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for add
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for add
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function add
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function transfer
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Processed function approve
[INFO] | 2024-11-10 07:37:12 AM | analyzer.0x09a80172ed7335660327cd664876b5df6fe06108 | Generating return summary for Ownable
