[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Analysis started at: 2024-11-10 07:37:54 AM
[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Callgraph generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Value Range Analysis started
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Generating return summary for GetIdByAddr
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Return summary generated for GetIdByAddr
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Processed function GetIdByAddr
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Generating return summary for GetPlayerByUid
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Return summary generated for GetPlayerByUid
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Processed function GetPlayerByUid
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Generating return summary for GetPlanByUid
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x72f41244e09b3b2f09d9e2f5f1184fa8bd6b4a1e | Return summary generated for GetPlanByUid
