[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Analysis started at: 2024-11-10 07:38:43 AM
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | solc version: v0.4.16
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Callgraph generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Value Range Analysis started
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Range graph generated
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function add
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function sub
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for initDeposit
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for initDeposit
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Range graph generated
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function initDeposit
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for SetTrustee
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for SetTrustee
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Range graph generated
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function SetTrustee
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Generating return summary for SetFund
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Return summary generated for SetFund
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Range graph generated
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x849019a489c3c26c7a7668e468be81a4d132781f | Processed function SetFund
