[INFO] | 2024-11-10 07:41:21 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Analysis started at: 2024-11-10 07:41:21 AM
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Version constraints: ['^0.5.0', '^0.5.11']
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | solc version: v0.5.11
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function totalSupply
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function balanceOf
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for transfer
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for transfer
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function transfer
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for allowance
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for allowance
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function allowance
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for approve
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for approve
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function approve
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function transferFrom
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Range graph generated
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function constructor
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for claimETH
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for claimETH
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function claimETH
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function fallback
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Generating return summary for transferERC20Token
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Return summary generated for transferERC20Token
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x39c74b1996d2cdbc2c996f2bb414ce316e245417 | Processed function transferERC20Token
