[INFO] | 2024-11-10 07:40:48 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Analysis started at: 2024-11-10 07:40:48 AM
[INFO] | 2024-11-10 07:40:50 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:40:50 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | solc version: v0.4.13
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Processed function mul
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Generating return summary for div
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | Return summary generated for div
[INFO] | 2024-11-10 07:40:51 AM | analyzer.0x284b0f2f49d072836db87dd25d0623cd2f622bb1 | State variable assignement do not exist
