[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Analysis started at: 2024-11-10 07:37:28 AM
[INFO] | 2024-11-10 07:37:33 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Version constraints: ['0.5.17']
[INFO] | 2024-11-10 07:37:33 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | solc version: v0.5.17
[INFO] | 2024-11-10 07:37:37 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Callgraph generation started!
[INFO] | 2024-11-10 07:37:37 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:37 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:38 AM | analyzer.0x1b1a4586fd99f7e044868ac8e5e91eac4863149b | Issues with getting the high level call destination address
