[INFO] | 2024-11-10 07:41:29 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Analysis started at: 2024-11-10 07:41:29 AM
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | solc version: v0.4.18
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Callgraph generation started!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Value Range Analysis started
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for add
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for add
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function add
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for sub
[WARNING] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for sub
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function sub
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for mul
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for mul
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function mul
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for div
[WARNING] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for div
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function div
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function totalSupply
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function balanceOf
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for allowance
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for allowance
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function allowance
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for transfer
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for transfer
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Processed function transfer
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Generating return summary for approve
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | Return summary generated for approve
[INFO] | 2024-11-10 07:41:31 AM | analyzer.0xad93be20a1781d9976b87c5bda2be64b2ebc132d | State variable assignement do not exist
