[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Analysis started at: 2024-11-10 07:37:23 AM
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function fallback
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for payout
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for payout
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function payout
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for donateToWhale
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for donateToWhale
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function donateToWhale
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for loseWager
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for loseWager
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function loseWager
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for ethBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for ethBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function ethBalance
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for currentDifficulty
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for currentDifficulty
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function currentDifficulty
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for currentBetLimit
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for currentBetLimit
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function currentBetLimit
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Generating return summary for hasPlayerWagered
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Return summary generated for hasPlayerWagered
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x7d09edb07d23acb532a82be3da5c17d9d85806b4 | Processed function hasPlayerWagered
