[INFO] | 2024-11-10 07:37:37 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Analysis started at: 2024-11-10 07:37:37 AM
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Version constraints: ['^0.4.4']
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | solc version: v0.4.4
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Callgraph generation started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Value Range Analysis started
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Generating return summary for sol_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Return summary generated for sol_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Processed function sol_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Generating return summary for asm_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Return summary generated for asm_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Processed function asm_clean
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Value Range Analysis took 0.000696 seconds
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Dependency detection started!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Dependency detection finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Static Analysis took 0.901963 seconds
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Dependency does not exist
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Analysis finished!
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Analysis took 0.902267 seconds
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xa43ebd8939d8328f5858119a3fb65f65c864c6dd | Analysis finished at: 2024-11-10 07:37:38 AM

real	0m2.696s
user	0m2.855s
sys	0m1.746s
