[INFO] | 2024-11-10 07:38:05 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Analysis started at: 2024-11-10 07:38:05 AM
[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | solc version: v0.4.0
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Callgraph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Value Range Analysis started
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Generating return summary for AgentContract
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Return summary generated for AgentContract
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Processed function AgentContract
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Generating return summary for getTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Return summary generated for getTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Processed function getTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Generating return summary for listAgents
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Return summary generated for listAgents
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Processed function listAgents
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Generating return summary for returnBalanseToTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Return summary generated for returnBalanseToTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Processed function returnBalanseToTarget
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Processed function fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Value Range Analysis took 0.001826 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Dependency detection started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Dependency detection finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Static Analysis took 1.491618 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Dependency does not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Analysis finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Analysis took 1.491845 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x82a9187ad010f85678b6f96b3d6f3a579ab640fb | Analysis finished at: 2024-11-10 07:38:07 AM

real	0m3.357s
user	0m4.252s
sys	0m2.231s
