[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Analysis started at: 2024-11-10 07:37:06 AM
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Processed function allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7183169973eda16209f66a602f2e27e1303bf414 | Return summary generated for transfer
