[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Analysis started at: 2024-11-10 07:39:16 AM
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | solc version: v0.5.0
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Callgraph generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Value Range Analysis started
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function totalSupply
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for allowance
