[INFO] | 2024-11-10 07:37:19 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Analysis started at: 2024-11-10 07:37:19 AM
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Version constraints: ['^0.4.26']
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | solc version: v0.4.26
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function approve
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function allowance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for decimals
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for decimals
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function decimals
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function constructor
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for getLastPrice
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for getLastPrice
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function getLastPrice
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for getTimeUpdated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for getTimeUpdated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function getTimeUpdated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for getOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for getOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function getOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for withdrawETHAndTokens
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for withdrawETHAndTokens
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function withdrawETHAndTokens
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for changeOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for changeOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function changeOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Generating return summary for updatePrices
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Return summary generated for updatePrices
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Processed function updatePrices
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Value Range Analysis took 0.006649 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Dependency detection started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Static Analysis took 1.235878 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Dependency does not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Analysis finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Analysis took 1.236153 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x5171f06b66479c751c0ac6d2935d2db373ca06c4 | Analysis finished at: 2024-11-10 07:37:21 AM
