[INFO] | 2024-11-10 07:41:39 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Analysis started at: 2024-11-10 07:41:39 AM
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | solc version: v0.4.21
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function totalSupply
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for allowance
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for allowance
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function allowance
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for transfer
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for transfer
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function transfer
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for approve
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for approve
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function approve
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function transferFrom
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for buy
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for buy
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function buy
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Generating return summary for Owned
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Return summary generated for Owned
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x03358425ada4620246dd703dc1f2246b8e148d22 | Processed function Owned
