[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Analysis started at: 2024-11-10 07:39:17 AM
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Version constraints: ['^0.4.26']
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | solc version: v0.4.26
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Callgraph generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Value Range Analysis started
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function totalSupply
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function balanceOf
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function transfer
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function transferFrom
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for approve
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for approve
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function approve
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for allowance
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for allowance
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function allowance
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for decimals
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for decimals
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Processed function decimals
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x5e88d3aa9c690a519279c199cc16f37b99510e2d | Return summary generated for constructor
