[INFO] | 2024-11-10 07:41:15 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Analysis started at: 2024-11-10 07:41:15 AM
[INFO] | 2024-11-10 07:41:15 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:41:15 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | solc version: v0.4.23
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for deposit
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for deposit
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function deposit
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Range graph generated
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function constructor
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for logSenderDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for logSenderDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function logSenderDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for logGasDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for logGasDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function logGasDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for logBlockDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for logBlockDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function logBlockDetails
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Generating return summary for checkBalance
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Return summary generated for checkBalance
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x0dd1326b7b80107f002ba16dad7fe2dd22f00491 | Processed function checkBalance
