[INFO] | 2024-11-10 08:11:27 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Analysis started at: 2024-11-10 08:11:27 AM
[INFO] | 2024-11-10 08:11:27 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 08:11:27 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | solc version: v0.4.18
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Callgraph generation started!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Callgraph generation finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Value Range Analysis started
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Generating return summary for AirDropContract
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Return summary generated for AirDropContract
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | State variable assignement do not exist
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Processed function AirDropContract
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Generating return summary for validAddress
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Return summary generated for validAddress
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | State variable assignement do not exist
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Processed function validAddress
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Generating return summary for transfer
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Return summary generated for transfer
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | State variable assignement do not exist
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Processed function transfer
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Value Range Analysis took 0.000643 seconds
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Value Range Analysis finished
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Dependency detection started!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Dependency detection finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Static Analysis took 0.765007 seconds
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Dependency does not exist
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Symbolic execution is not needed!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Analysis finished!
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Analysis took 0.765174 seconds
[INFO] | 2024-11-10 08:11:28 AM | analyzer.0x237ebdb70cd9b35be854ce92350b6afcbb90078d | Analysis finished at: 2024-11-10 08:11:28 AM
