[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Processed function constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x3a2fd07ec2ad6f355f93af695a7cf858f5967b78 | Processed function _transferOwnership
