[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Analysis started at: 2024-11-10 07:38:14 AM
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | solc version: v0.4.0
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Callgraph generation started!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Value Range Analysis started
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Processed function transfer
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Value Range Analysis took 0.000483 seconds
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Dependency detection started!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Dependency detection finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Static Analysis took 0.862574 seconds
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Dependency does not exist
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Analysis finished!
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Analysis took 0.862868 seconds
[INFO] | 2024-11-10 07:38:14 AM | analyzer.0xd5967fed03e85d1cce44cab284695b41bc675b5c | Analysis finished at: 2024-11-10 07:38:14 AM
