[INFO] | 2024-11-10 07:40:09 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Analysis started at: 2024-11-10 07:40:09 AM
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Version constraints: ['^0.5.1']
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | solc version: v0.5.1
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Callgraph generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Value Range Analysis started
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Range graph generated
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe | Processed function constructor
