[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Analysis started at: 2024-11-10 07:37:09 AM
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Version constraints: ['^0.4.4']
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | solc version: v0.4.4
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Callgraph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Value Range Analysis started
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for setFacts
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for setFacts
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function setFacts
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for getStake
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for getStake
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function getStake
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for getBlocksTillMattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for getBlocksTillMattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function getBlocksTillMattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for Mattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for Mattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Range graph generated
