[INFO] | 2024-11-10 07:38:46 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Analysis started at: 2024-11-10 07:38:46 AM
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | solc version: v0.4.13
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Generating return summary for multiowned
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Return summary generated for multiowned
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Processed function multiowned
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x00fe8ef58dc8282cac6e1d275acf0821c5084e88 | Generating return summary for revoke
