[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Analysis started at: 2024-11-10 07:37:47 AM
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Callgraph generation started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Value Range Analysis started
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function transfer
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function Crowdsale
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for afterDeadline
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for afterDeadline
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function afterDeadline
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function fallback
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for checkGoalReached
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for checkGoalReached
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function checkGoalReached
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for safeWithdrawal
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for safeWithdrawal
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function safeWithdrawal
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Generating return summary for releaseTenPercent
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Return summary generated for releaseTenPercent
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Range graph generated
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Processed function releaseTenPercent
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Value Range Analysis took 0.006200 seconds
