[INFO] | 2024-09-29 04:12:14 AM | analyzer.etherscan_solc | Analysis started at: 2024-09-29 04:12:14 AM
[INFO] | 2024-09-29 04:12:21 AM | analyzer.etherscan_solc | Version constraints: ['^0.5.0']
[INFO] | 2024-09-29 04:12:21 AM | analyzer.etherscan_solc | solc version: v0.5.0
[INFO] | 2024-09-29 04:12:31 AM | analyzer.etherscan_solc | Callgraph generation started!
[INFO] | 2024-09-29 04:12:31 AM | analyzer.etherscan_solc | Callgraph generation finished!
[INFO] | 2024-09-29 04:12:31 AM | analyzer.etherscan_solc | Interprocedural CFG generation started!
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Interprocedural CFG generation finished!
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Storage dependency graph generation started!
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Storage dependency graph generation finished!
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Value Range Analysis started
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Range graph generated
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Range graph generated
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Range graph generated
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function slitherConstructorConstantVariables
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for f
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for f
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function f
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for setProofType
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for setProofType
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function setProofType
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for setCustomGasPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for setCustomGasPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function setCustomGasPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for randomDS_getSessionPubKeyHash
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for randomDS_getSessionPubKeyHash
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function randomDS_getSessionPubKeyHash
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function getPrice
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for queryN
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for queryN
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function queryN
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for query
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for query
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function query
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for query2
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for query2
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function query2
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Generating return summary for query_withGasLimit
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Return summary generated for query_withGasLimit
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | State variable assignement do not exist
[INFO] | 2024-09-29 04:12:33 AM | analyzer.etherscan_solc | Processed function query_withGasLimit
