[INFO] | 2024-11-10 07:37:05 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Analysis started at: 2024-11-10 07:37:05 AM
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Generating return summary for setStatus
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Return summary generated for setStatus
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Processed function setStatus
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34 | Generating return summary for getStatus
