[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Analysis started at: 2024-11-10 07:37:08 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for Dividends
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for Dividends
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function Dividends
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for admin
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for admin
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function admin
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for out
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for out
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function out
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Processed function fallback
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Value Range Analysis took 0.004293 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Dependency detection started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Static Analysis took 1.227155 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Dependency does not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Analysis finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Analysis took 1.227432 seconds
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x644417f540bf96fd218287454501b2eb13c83295 | Analysis finished at: 2024-11-10 07:37:09 AM
