[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Analysis started at: 2024-11-10 07:41:22 AM
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:41:22 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | solc version: v0.5.0
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Processed function fallback
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Value Range Analysis took 0.000505 seconds
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Value Range Analysis finished
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Dependency detection started!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Dependency detection finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Static Analysis took 0.532343 seconds
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Dependency does not exist
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Analysis finished!
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Analysis took 0.532685 seconds
[INFO] | 2024-11-10 07:41:23 AM | analyzer.0x28d673424398fd5de64133d4e64487c495a724f5 | Analysis finished at: 2024-11-10 07:41:23 AM
