[INFO] | 2024-11-10 07:38:49 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Analysis started at: 2024-11-10 07:38:49 AM
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | solc version: v0.4.11
[INFO] | 2024-11-10 07:39:09 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Callgraph generation started!
[INFO] | 2024-11-10 07:39:09 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:09 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Value Range Analysis started
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Range graph generated
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Range graph generated
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Range graph generated
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:10 AM | analyzer.0x06012c8cf97bead5deae237070f9587f8e7a266d | Range graph generated
