[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Analysis started at: 2024-11-10 07:38:02 AM
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Version constraints: ['^0.4.12']
[INFO] | 2024-11-10 07:38:05 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | solc version: v0.4.12
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Generating return summary for CryptoStars
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Return summary generated for CryptoStars
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Processed function CryptoStars
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Generating return summary for reserveStarsForOwner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Return summary generated for reserveStarsForOwner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Processed function reserveStarsForOwner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Generating return summary for setGivenName
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0xd54920cedf704b87342fa26d5773efabf9037a77 | Return summary generated for setGivenName
