[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Analysis started at: 2024-11-10 07:37:21 AM
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | solc version: v0.4.13
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Range graph generated
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x136e99a415957fc3f23e0a6885b22bcd0c475ab4 | Processed function slitherConstructorConstantVariables
