[INFO] | 2024-11-10 07:38:41 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Processed function transfer
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:45 AM | analyzer.0x575d8909d7fef2561ef8c2114d80b736fb77cbb6 | Processed function mul
