[INFO] | 2024-11-10 07:39:24 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Analysis started at: 2024-11-10 07:39:24 AM
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for mul
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for mul
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function mul
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for div
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for div
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function div
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for sub
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for sub
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function sub
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for add
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for add
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function add
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Range graph generated
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function Ownable
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x42a4a749123469ca6a8b6ca494b1953076a26ef7 | Processed function onlyOwner
