[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Analysis started at: 2024-11-10 07:37:25 AM
[INFO] | 2024-11-10 07:37:36 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:36 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:49 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Generating return summary for getCurrentRoundInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Return summary generated for getCurrentRoundInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Processed function getCurrentRoundInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Generating return summary for receivePlayerInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Return summary generated for receivePlayerInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Processed function receivePlayerInfo
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Generating return summary for receivePlayerNameList
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Return summary generated for receivePlayerNameList
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x09ab651217b86d1ee7236e0fad1ebb19185fe769 | Processed function receivePlayerNameList
