[INFO] | 2024-11-10 07:37:46 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Analysis started at: 2024-11-10 07:37:46 AM
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | solc version: v0.4.13
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for CentraAsiaWhiteList
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for CentraAsiaWhiteList
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Range graph generated
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function CentraAsiaWhiteList
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for div
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for div
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function div
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for max64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for max64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function max64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for min64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for min64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function min64
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for max256
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for max256
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Processed function max256
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Generating return summary for min256
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0xe2d8337423519a95eb38d6bce22ea5e8784e79d5 | Return summary generated for min256
