[INFO] | 2024-11-10 07:41:19 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Analysis started at: 2024-11-10 07:41:19 AM
[INFO] | 2024-11-10 07:41:24 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Version constraints: ['>=0.6.0', '<0.8.0']
[INFO] | 2024-11-10 07:41:24 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | solc version: v0.6.0
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function onlyOwner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Range graph generated
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function constructor
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function owner
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Processed function totalSupply
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:26 AM | analyzer.0x0e82b29a77a53880dd4ee8326cfea9b4c68db638 | Return summary generated for balanceOf
