[INFO] | 2024-11-10 07:39:24 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Analysis started at: 2024-11-10 07:39:24 AM
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | solc version: v0.4.13
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Range graph generated
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Range graph generated
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Processed function Ownable
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Range graph generated
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for mine
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for mine
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Processed function mine
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Generating return summary for claim
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | Return summary generated for claim
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x29aa20fb9b23421e310bdb8a7cfb81d7fbb4a1b3 | State variable assignement do not exist
