[INFO] | 2024-11-10 07:40:25 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Analysis started at: 2024-11-10 07:40:25 AM
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | solc version: v0.4.21
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Callgraph generation started!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Value Range Analysis started
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Generating return summary for Ownable
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Return summary generated for Ownable
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Range graph generated
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Processed function Ownable
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Processed function onlyOwner
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Generating return summary for mul
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Return summary generated for mul
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Processed function mul
[INFO] | 2024-11-10 07:40:28 AM | analyzer.0x1d86a854da490ff74dedc7abe281fb468f8c19ee | Generating return summary for div
