[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Analysis started at: 2024-11-10 07:39:33 AM
[INFO] | 2024-11-10 07:39:40 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:39:40 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | solc version: v0.4.18
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Callgraph generation started!
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Value Range Analysis started
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Range graph generated
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Range graph generated
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Range graph generated
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for mul
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for mul
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function mul
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for div
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for div
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function div
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for sub
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for sub
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function sub
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for add
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for add
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function add
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for max64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for max64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function max64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for min64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for min64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function min64
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for max256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for max256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function max256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for min256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for min256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function min256
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for receiveApproval
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for receiveApproval
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function receiveApproval
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for NamiPool
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for NamiPool
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Range graph generated
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function NamiPool
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Range graph generated
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for onlyNamiMultisig
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for onlyNamiMultisig
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function onlyNamiMultisig
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Generating return summary for onlyEscrow
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Return summary generated for onlyEscrow
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:47 AM | analyzer.0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae | Processed function onlyEscrow
