[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Callgraph generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Value Range Analysis started
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function transfer
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function Crowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for changeDeadline
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for changeDeadline
