[INFO] | 2024-11-10 07:37:37 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Analysis started at: 2024-11-10 07:37:37 AM
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Range graph generated
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Processed function constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Processed function onlyowner
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Generating return summary for Payout
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Return summary generated for Payout
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Processed function Payout
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Generating return summary for Optin
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Return summary generated for Optin
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Range graph generated
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Processed function Optin
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Range graph generated
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Processed function fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Value Range Analysis took 0.005638 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Dependency detection started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Static Analysis took 1.534892 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Dependency does not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Analysis finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Analysis took 1.535171 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x7d7dde4b196a237879e448fc4b69b8647c124932 | Analysis finished at: 2024-11-10 07:37:39 AM

real	0m3.574s
user	0m3.750s
sys	0m1.159s
