[INFO] | 2024-11-10 07:40:15 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Analysis started at: 2024-11-10 07:40:15 AM
[INFO] | 2024-11-10 07:40:17 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:40:17 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | solc version: v0.4.24
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Callgraph generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Value Range Analysis started
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Generating return summary for calculatePurchaseReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Return summary generated for calculatePurchaseReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Processed function calculatePurchaseReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Generating return summary for calculateSaleReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Return summary generated for calculateSaleReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Processed function calculateSaleReturn
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0d7e1053924599ceac270d3a28b839282781ecec | Generating return summary for totalSupply
