[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Analysis started at: 2024-11-10 07:39:16 AM
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Callgraph generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Value Range Analysis started
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Generating return summary for Ownable
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Return summary generated for Ownable
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Range graph generated
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Processed function Ownable
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:18 AM | analyzer.0x09f6a183dc0375ccf8032c367881f3aafb5342ef | Processed function onlyOwner
