[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Analysis started at: 2024-11-10 07:39:03 AM
[INFO] | 2024-11-10 07:39:04 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:04 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for getBetAmount
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for getBetAmount
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function getBetAmount
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function withdraw
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for depositBalance
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for depositBalance
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function depositBalance
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for addEvent
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for addEvent
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function addEvent
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for burstBubble
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for burstBubble
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function burstBubble
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for checkMoon
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for checkMoon
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function checkMoon
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for betBlueCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for betBlueCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function betBlueCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Generating return summary for betRedCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Return summary generated for betRedCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Processed function betRedCoin
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Value Range Analysis took 0.011297 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Dependency detection started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Static Analysis took 1.900319 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Dependency does not exist
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Analysis finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Analysis took 1.900520 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x09f5f9413cefd61044db02940540155507bdcc55 | Analysis finished at: 2024-11-10 07:39:05 AM

real	0m3.814s
user	0m4.883s
sys	0m2.458s
