[INFO] | 2024-11-10 07:37:56 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Analysis started at: 2024-11-10 07:37:56 AM
[INFO] | 2024-11-10 07:37:57 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:57 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Callgraph generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Value Range Analysis started
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for presaleAddr
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for presaleAddr
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function presaleAddr
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for transferPresale
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for transferPresale
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function transferPresale
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function Admins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function onlyAdmins
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for belowHardCap
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for belowHardCap
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function belowHardCap
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for goodDate
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for goodDate
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Processed function goodDate
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0xe4e28bfd45969218a2af311ee10e80846f7b2fdc | Return summary generated for fallback
