[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Analysis started at: 2024-11-10 07:38:12 AM
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for PG_Bank
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for PG_Bank
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function PG_Bank
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function AddMessage
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for Put
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for Put
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function Put
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function Collect
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Range graph generated
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Processed function fallback
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Value Range Analysis took 0.003898 seconds
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Dependency detection started!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Static Analysis took 1.149076 seconds
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Dependency does not exist
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Analysis finished!
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Analysis took 1.149411 seconds
[INFO] | 2024-11-10 07:38:13 AM | analyzer.0x730f8c40a08d02349a2d64e3193cf207a2a2dfe7 | Analysis finished at: 2024-11-10 07:38:13 AM

real	0m3.085s
user	0m3.694s
sys	0m1.519s
