[INFO] | 2024-11-10 07:40:10 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Analysis started at: 2024-11-10 07:40:10 AM
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | solc version: v0.4.24
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Range graph generated
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Processed function constructor
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Generating return summary for fallback
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Return summary generated for fallback
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Processed function fallback
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Generating return summary for deposit
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Return summary generated for deposit
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Processed function deposit
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Generating return summary for transferETH
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Return summary generated for transferETH
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Processed function transferETH
[INFO] | 2024-11-10 07:40:11 AM | analyzer.0x3967f481031f78a3fcbfe5c6a1079ec9f8426432 | Generating return summary for transferETH
