[INFO] | 2024-11-10 07:40:19 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Analysis started at: 2024-11-10 07:40:19 AM
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | solc version: v0.4.19
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Processed function balanceOf
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0xecfe4b7afc47260cb590d3043d3f790a61bb7910 | Generating return summary for transfer
