[INFO] | 2024-11-10 07:38:41 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Version constraints: ['0.5.2']
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | solc version: v0.5.2
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Processed function constructor
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Processed function _transferOwnership
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633 | Processed function onlyOwner
