[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Analysis started at: 2024-11-10 07:37:39 AM
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Processed function constructor
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Generating return summary for Sort
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Return summary generated for Sort
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Processed function Sort
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Processed function onlyowner
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Processed function fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Generating return summary for Count
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Return summary generated for Count
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Processed function Count
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Value Range Analysis took 0.003241 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Storage dependency graph compostion started!
