[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Analysis started at: 2024-11-10 07:38:32 AM
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Range graph generated
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Range graph generated
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Range graph generated
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for owner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for owner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function owner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function transfer
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for burnMyBalance
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for burnMyBalance
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function burnMyBalance
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for deadline
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for deadline
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function deadline
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for weiRaised
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for weiRaised
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function weiRaised
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Range graph generated
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Range graph generated
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function constructor
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for isRunning
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for isRunning
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function isRunning
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for goalReached
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for goalReached
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function goalReached
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Generating return summary for stopOnPause
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x6d84769b1e287a27f282a938c8110b22714dbf78 | Return summary generated for stopOnPause
