[INFO] | 2024-11-10 08:08:09 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Analysis started at: 2024-11-10 08:08:09 AM
[INFO] | 2024-11-10 08:08:09 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Version constraints: ['0.4.21']
[INFO] | 2024-11-10 08:08:09 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | solc version: v0.4.21
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Callgraph generation started!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Callgraph generation finished!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Value Range Analysis started
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for totalSupply
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for totalSupply
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function totalSupply
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for balanceOf
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for balanceOf
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function balanceOf
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for allowance
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for allowance
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function allowance
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for transfer
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for transfer
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function transfer
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for approve
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for approve
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function approve
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for transferFrom
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Return summary generated for transferFrom
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Processed function transferFrom
[INFO] | 2024-11-10 08:08:10 AM | analyzer.0x2247fdc0e5de91ae589abfab8b99976d8e9f330b | Generating return summary for withdraw
